前缀类别,是否完整,DRV_LIBS,GH_HRV_pre_pv_v1.0.1.0,GH_HR_bas_pv_v1.0.2.0,GH_HR_exc_pv_v2.0.2.0,GH_HR_med_pv_v1.0.2.0,GH_HR_pre_pv_v1.0.2.0,GH_NADT_pre_pv_v1.0.2.0,GH_SPO2_bas_pv_v2.1.10.0,GH_SPO2_pre_pv_v2.1.10.0,dlCom_bas2med_pv_v1.0.0,dlCom_pre2exc_pv_v1.3.0,dsp_pv_v1.3.0
esp32_xtensa-esp32-gcc-14.2.0_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
esp32_xtensa-esp32-gcc-8.4.0_o2,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
esp32_xtensa-esp32s3-gcc-13.2.0_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
flexible,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
pi32_clang-4.0.1_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
pi32v2_clang-4.0.1_o0,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
pi32v2_clang-4.0.1_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
pi32v2_clang-4.0.1_oz,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
q32s_clang-4.0.1_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
qcc512x_kalimba-cc-v63_o2,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
qcc512x_kalimba-cc-v66_o2_GoerRx2-Qualcomm5151,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
riscv32_clang-12.0.1_linx-musl_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
riscv32_gcc-10.2.0_imfcxbs1_os+hard,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
riscv32_gcc-10.2.0_o3+soft,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
riscv32_gcc-10.2.0_os+hard,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
riscv32_gcc-10.2.0_os+ilp32f,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
riscv32_gcc-10.2.0_os+soft,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
riscv32_gcc-10.3.0-andes_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
riscv32_gcc-12.2.0-imc_os+soft,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
riscv32_gcc-12.2.0-nds,❌,❌,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌
riscv32_gcc-12.2.0-nds_o2,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
riscv32_gcc-12.2.0-nds_o2-g0,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
riscv32_gcc-14.2.0-esp_os+soft,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
riscv32_gcc-14.2.0_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
riscv32_gcc-7.1.1_o2,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
riscv64_sifive-gcc-8.3.0_os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
star-mc1_arm-gcc14.2.1_softfp+Os,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
